CCs,train,dev,test
FetoO,0.596,0.559,0.558
O7toO6,0.748,0.69,0.696
C6toC5,0.659,0.527,0.569
C6toC4,0.637,0.428,0.433
nHe2,0.773,0.755,0.764
vHe2,0.992,0.989,0.992
