CCs,train,dev,test
FetoO,0.5985±0.0024607992,0.57339996±0.0049710264,0.4331±0.009803063
O7toO6,0.7315±0.008436034,0.6998±0.008038791,0.6243±0.020553734
C6toC5,0.64070004±0.011944777,0.5771±0.025557995,0.6138±0.010726921
C6toC4,0.6744±0.011413437,0.4402±0.03295047,0.5013±0.035295736
nHe2,0.7742001±0.0022010163,0.7493±0.0051001124,0.5122±0.0065285736
vHe2,0.99100006±6.282881e-8,0.99100006±6.282881e-8,0.9929999±6.282881e-8
